ESTADO;VALOR_TOTAL_VENDA;QTD_ORDERS;TICKET_MEDIO
PB;17095;38;449,868421052632
BA;285561,56;643;444,108180404354
AM;1177;3;392,333333333333
RO;4762,2;14;340,157142857143
AC;267;1;267
CE;20240,64;94;215,325957446809
PI;2522;12;210,166666666667
PE;91493,8500000003;448;204,227343750001
RN;9992,6;56;178,439285714286
RJ;843984,22;4818;175,173146533831
RS;378559,54;2199;172,150768531151
MS;8551,69;50;171,0338
SE;1606,2;10;160,62
SC;632426,07;4075;155,196581595092
PA;1238;8;154,75
PR;1261887,21;8671;145,529605581825
ES;47689,61;372;128,197876344086
GO;66399,21;520;127,690788461538
MT;17070,72;145;117,729103448276
MG;1011564,74;8827;114,598928288207
SP;8753396,21000002;80342;108,951684175151
DF;97749,48;899;108,731345939933
MA;36408,9500000002;405;89,8986419753091
