ANO;MES;VALOR_TOTAL;DATA
2016;12;R$ 10,90;01/12/2016
2016;9;R$ 267,36;01/09/2016
2016;10;R$ 49.507,66;01/10/2016
2017;11;R$ 1.010.271,37;01/11/2017
2017;2;R$ 247.303,02;01/02/2017
2017;3;R$ 374.344,30;01/03/2017
2017;9;R$ 624.401,69;01/09/2017
2017;6;R$ 433.038,60;01/06/2017
2017;12;R$ 743.914,17;01/12/2017
2017;8;R$ 573.971,68;01/08/2017
2017;7;R$ 498.031,48;01/07/2017
2017;1;R$ 120.312,87;01/01/2017
2017;4;R$ 359.927,23;01/04/2017
2017;10;R$ 664.219,43;01/10/2017
2017;5;R$ 506.071,14;01/05/2017
2018;8;R$ 854.686,33;01/08/2018
2018;5;R$ 996.517,68;01/05/2018
2018;4;R$ 996.647,75;01/04/2018
2018;2;R$ 844.178,71;01/02/2018
2018;6;R$ 865.124,31;01/06/2018
2018;9;R$ 145,00;01/09/2018
2018;3;R$ 983.213,44;01/03/2018
2018;1;R$ 950.030,36;01/01/2018
2018;7;R$ 895.507,22;01/07/2018
